S126218,"Director Level - Product Management - Data Science","Teramind","320000.0","scikit-learn"
126218,"Director Level - Product Management - Data Science","Teramind","320000.0","datarobot"
1131472,"Data Scientist","Algo Capital Group","375000.0","sql"
1131472,"Data Scientist","Algo Capital Group","375000.0","tableau"
1131472,"Data Scientist","Algo Capital Group","375000.0","hadoop"
1131472,"Data Scientist","Algo Capital Group","375000.0","spark"
1131472,"Data Scientist","Algo Capital Group","375000.0","cassandra"
1131472,"Data Scientist","Algo Capital Group","375000.0","java"
1131472,"Data Scientist","Algo Capital Group","375000.0","python"
1714768,"Staff Data Scientist - Business Analytics","Selby Jennings","525000.0","sql"
40145,"Staff Data Scientist/Quant Researcher","Selby Jennings","550000.0","python"
40145,"Staff Data Scientist/Quant Researcher","Selby Jennings","550000.0","sql"
